movieId,title_clean,title,q
356,Forrest Gump,Forrest Gump (1994),forrest gump
318,"Shawshank Redemption, The","Shawshank Redemption, The (1994)","shawshank redemption, the"
296,Pulp Fiction,Pulp Fiction (1994),pulp fiction
593,"Silence of the Lambs, The","Silence of the Lambs, The (1991)","silence of the lambs, the"
2571,"Matrix, The","Matrix, The (1999)","matrix, the"
260,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),star wars: episode iv - a new hope
480,Jurassic Park,Jurassic Park (1993),jurassic park
110,Braveheart,Braveheart (1995),braveheart
589,Terminator 2: Judgment Day,Terminator 2: Judgment Day (1991),terminator 2: judgment day
527,Schindler's List,Schindler's List (1993),schindler's list
2959,Fight Club,Fight Club (1999),fight club
1,Toy Story,Toy Story (1995),toy story
1196,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back (1980),star wars: episode v - the empire strikes back
50,"Usual Suspects, The","Usual Suspects, The (1995)","usual suspects, the"
2858,American Beauty,American Beauty (1999),american beauty
47,Seven (a.k.a. Se7en),Seven (a.k.a. Se7en) (1995),seven (a.k.a. se7en)
780,Independence Day (a.k.a. ID4),Independence Day (a.k.a. ID4) (1996),independence day (a.k.a. id4)
150,Apollo 13,Apollo 13 (1995),apollo 13
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),raiders of the lost ark (indiana jones and the raiders of the lost ark)
4993,"Lord of the Rings: The Fellowship of the Ring, The","Lord of the Rings: The Fellowship of the Ring, The (2001)","lord of the rings: the fellowship of the ring, the"
1210,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode VI - Return of the Jedi (1983),star wars: episode vi - return of the jedi
858,"Godfather, The","Godfather, The (1972)","godfather, the"
457,"Fugitive, The","Fugitive, The (1993)","fugitive, the"
592,Batman,Batman (1989),batman
2028,Saving Private Ryan,Saving Private Ryan (1998),saving private ryan
5952,"Lord of the Rings: The Two Towers, The","Lord of the Rings: The Two Towers, The (2002)","lord of the rings: the two towers, the"
7153,"Lord of the Rings: The Return of the King, The","Lord of the Rings: The Return of the King, The (2003)","lord of the rings: the return of the king, the"
588,Aladdin,Aladdin (1992),aladdin
608,Fargo,Fargo (1996),fargo
